#lines that start with # are comments 
#values are seperated by commas (,)
#objective for scene
#GTO game type objective (0-Height/distance obj, 1-Land on gameobject name, 2-Pass checkpoints, 3-Grab object and get to designated end point)
GTO,0
#OBJ,Scene title, GET Height (+or-), Land start, Land End
OBJ,Hop skip and jump!,4,50,999
#CLD,Cloud Height
CLD,68
#WTH, Weather 0-99 higher number more clouds/rain
WTH,20
#WND, Wind level -4000 to 4000
WND,700
#RAD, RADIOSITy level 0 to 1
RAD,1
#RAB, Background Radiosit leve 0 to 1
RAB,1
#FPS, target fps for the scene
FPS,96
#GRX, gravity scale x
GRX,0
#GRY, gravity scale y
GRY,-9.81
# Prefab,LayerOrder,StartX,EndX,StartY,EndY
ground/gbrick,0,20.9,23.46,20.45,23.01
ground/gbrick,0,46.53,49.09,20.61,23.17
ground/gbrick,0,41.46,44.02,20.54,23.1
ground/gbrick,0,25.77,28.33,25.57,28.13
ground/gbrick,0,30.89,33.45,25.57,28.13
ground/gbrick,0,36.01,38.57,25.59,28.15
ground/gbrick,0,0.2800026,2.840003,25.41,27.97
ground/gbrick,0,5.350002,7.910002,25.46,28.02
ground/gbrick,0,10.47,13.03,25.49,28.05
ground/gbrick,0,15.57,18.13,25.54,28.1
ground/gbrick,0,20.65,23.21,25.52,28.08
ground/gbrick,0,46.28001,48.84001,25.68,28.24
ground/gbrick,0,41.21,43.77,25.61,28.17
ground/gbrick,0,82.39,84.95,2.019999,4.579999
ground/gbrick,0,87.50999,90.06998,2.07,4.63
ground/gbrick,0,67.03,69.59,6.899998,9.459998
ground/gbrick,0,87.45,90.00999,7.009998,9.569998
ground/gbrick,0,72.14999,74.70998,6.929998,9.489998
ground/gbrick,0,77.24999,79.80999,6.98,9.54
ground/gbrick,0,82.32999,84.88998,6.959999,9.519999
ground/gbrick,0,67.1,69.66,11.96,14.52
ground/gbrick,0,87.52,90.07999,12.07,14.63
ground/gbrick,0,72.21999,74.77999,11.99,14.55
ground/gbrick,0,77.32,79.88,12.04,14.6
ground/gbrick,0,82.39999,84.95998,12.02,14.58
ground/gbrick,0,66.85,69.41,17.03,19.59
ground/gbrick,0,87.27,89.82999,17.14,19.7
ground/gbrick,0,71.96999,74.52999,17.06,19.62
ground/gbrick,0,77.07,79.63,17.11,19.67
ground/gbrick,0,82.14999,84.70998,17.09,19.65
ground/gbrick,0,52.03,54.59,10.58,13.14
ground/gbrick,0,46.91,49.47,10.55,13.11
ground/gbrick,0,57.13,59.69,10.63,13.19
ground/gbrick,0,62.21001,64.77001,10.61,13.17
ground/gbrick,0,67.33,69.89,10.66,13.22
ground/gbrick,0,46.85,49.41,15.49,18.05
ground/gbrick,0,67.27,69.82999,15.6,18.16
ground/gbrick,0,51.97,54.53,15.52,18.08
ground/gbrick,0,57.07,59.63,15.57,18.13
ground/gbrick,0,62.15,64.71,15.55,18.11
ground/gbrick,0,46.92,49.48,20.55,23.11
ground/gbrick,0,67.34,69.89999,20.66,23.22
ground/gbrick,0,52.04,54.6,20.58,23.14
ground/gbrick,0,57.14001,59.70001,20.63,23.19
ground/gbrick,0,62.22,64.78,20.61,23.17
ground/gbrick,0,46.67001,49.23001,25.62,28.18
ground/gbrick,0,67.09,69.64999,25.73,28.29
ground/gbrick,0,51.79,54.35,25.65,28.21
ground/gbrick,0,56.89001,59.45001,25.7,28.26
ground/gbrick,0,61.97,64.53,25.68,28.24
ground/gbrick,0,14.93,17.49,-4.59,-2.03
ground/gbrick,0,19.4,21.96,-3.33,-0.77
ground/gbrick,0,24.38,26.94,-2.15,0.4099998
ground/gbrick,0,92.47,95.03,2.19,4.75
ground/gbrick,0,92.32,94.88,7.53,10.09
ground/gbrick,0,92.47,95.03,12.33,14.89
ground/airport,0,0,90,0,2.56
#leftmost
ground/gbrick,0,-25,0,0,30
#rightmost
#ground/gbrick,0,555,590,0,200
#topmost
ground/gbrick,0,-15,90,25,30
#BOTTOM
ground/gbrick,0,-15,90,-20,-2
#This section is for landing at the top part
#ground/gbrick,0,400,1090,150,155
